title,description,poster_url
Oppenheimer,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,https://a.ltrbxd.com/resized/film-poster/7/8/4/3/2/8/784328-oppenheimer-0-500-0-750-crop.jpg?v=e3c6e7a32c
The Holdovers,"A curmudgeonly instructor at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually, he forms an unlikely bond with one of them — a damaged, brainy troublemaker — and with the school’s head cook, who has just lost a son in Vietnam.",https://a.ltrbxd.com/resized/film-poster/7/5/5/5/6/4/755564-the-holdovers-0-500-0-750-crop.jpg?v=99bbdd8955
Poor Things,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",https://a.ltrbxd.com/resized/film-poster/7/1/0/3/5/2/710352-poor-things-0-500-0-750-crop.jpg?v=a0f2ee9a0e
Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",https://a.ltrbxd.com/resized/alternative-poster/3/9/8/0/0/9/p/A39igDFcwbPZjvNVPubEjAAz8lf-0-500-0-750-crop.jpg?v=bce3135a83
Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-500-0-750-crop.jpg?v=1b83dc7a71
Anatomy of a Fall,"A woman is suspected of her husband’s murder, and their blind son faces a moral dilemma as the sole witness.",https://a.ltrbxd.com/resized/film-poster/8/2/2/0/9/3/822093-anatomy-of-a-fall-0-500-0-750-crop.jpg?v=4efab8aedc
American Fiction ,"Thelonious “Monk” Ellison’s writing career has stalled because his work isn’t deemed “Black enough.” Monk, a writer and English professor, writes a satirical novel under a pseudonym, aiming to expose the publishing world’s hypocrisies. The book’s immediate success forces him to get deeper enmeshed in his assumed identity and challenges his closely-held worldviews.",https://a.ltrbxd.com/resized/film-poster/9/5/2/8/1/2/952812-american-fiction-0-500-0-750-crop.jpg?v=fbc2c6daf1
The Zone of Interest,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",https://a.ltrbxd.com/resized/film-poster/3/9/8/8/0/0/398800-the-zone-of-interest-0-500-0-750-crop.jpg?v=0514f658e1
Maestro,"A towering and fearless love story chronicling the lifelong relationship between Leonard Bernstein and Felicia Montealegre Cohn Bernstein. A love letter to life and art, Maestro at its core is an emotionally epic portrayal of family and love.",https://a.ltrbxd.com/resized/film-poster/4/5/3/0/6/9/453069-maestro-0-500-0-750-crop.jpg?v=1dde1fa55f
Past Lives,"Nora and Hae Sung, two childhood friends, are reunited in New York for one fateful week as they confront notions of destiny, love, and the choices that make a life.",https://a.ltrbxd.com/resized/film-poster/5/9/1/0/5/3/591053-past-lives-0-500-0-750-crop.jpg?v=c600b7854e
NYAD,Athlete Diana Nyad sets out at 60 to achieve a nearly impossible lifelong dream: to swim from Cuba to Florida across more than 100 miles of open ocean.,https://a.ltrbxd.com/resized/film-poster/8/0/6/0/4/2/806042-nyad-0-500-0-750-crop.jpg?v=53a8f8ac0c
Rustin,Activist Bayard Rustin faces racism and homophobia as he helps change the course of Civil Rights history by orchestrating the 1963 March on Washington.,https://a.ltrbxd.com/resized/film-poster/8/0/8/7/2/6/808726-rustin-0-500-0-750-crop.jpg?v=0b688007e4
The Color Purple,"A decades-spanning tale of love and resilience and of one woman’s journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",https://a.ltrbxd.com/resized/film-poster/4/8/7/5/3/8/487538-the-color-purple-0-500-0-750-crop.jpg?v=75de81088b
May December,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.",https://a.ltrbxd.com/resized/sm/upload/zh/p4/cg/6v/may-december-0-500-0-750-crop.jpg?v=40f7f230a3
Napoleon,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",https://a.ltrbxd.com/resized/film-poster/6/7/4/1/3/7/674137-napoleon-0-500-0-750-crop.jpg?v=8cb54e07b5
The Creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",https://a.ltrbxd.com/resized/film-poster/5/9/5/0/2/9/595029-the-creator-0-500-0-750-crop.jpg?v=b921bf1d45
Mission: Impossible – Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the fate of the world at stake, and dark forces from Ethan’s past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan is forced to consider that nothing can matter more than his mission – not even the lives of those he cares about most. ",https://a.ltrbxd.com/resized/film-poster/5/0/3/4/0/2/503402-mission-impossible-dead-reckoning-part-one-0-500-0-750-crop.jpg?v=800fc297c1
El Conde,"After living for over two centuries, Augusto Pinochet is a vampire ready to die… but the vultures around him won’t let him go without one last bite.",https://a.ltrbxd.com/resized/film-poster/8/9/2/9/9/1/892991-el-conde-0-500-0-750-crop.jpg?v=31195803ac
Golda,"Set during the tense 19 days of the Yom Kippur War in 1973, Israeli Prime Minister Golda Meir is faced with the potential of Israel’s complete destruction. She must navigate overwhelming odds, a skeptical cabinet and a complex relationship with US Secretary of State Henry Kissinger, with millions of lives in the balance. Her tough leadership and compassion would ultimately decide the fate of her nation and leave her with a controversial legacy around the world.",https://a.ltrbxd.com/resized/film-poster/8/1/0/0/0/3/810003-golda-0-500-0-750-crop.jpg?v=3f538caba2
Indiana Jones and the Dial of Destiny,"Finding himself in a new era, approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn’t fall into the wrong hands.",https://a.ltrbxd.com/resized/film-poster/2/6/5/4/3/3/265433-indiana-jones-and-the-dial-of-destiny-0-500-0-750-crop.jpg?v=34f4a02c6b
American Symphony,"Musician Jon Batiste attempts to compose a symphony as his wife, writer Suleika Jaouad, undergoes cancer treatment.",https://a.ltrbxd.com/resized/film-poster/1/0/5/8/6/0/7/1058607-american-symphony-0-500-0-750-crop.jpg?v=2ab2864455
Flamin’ Hot,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin’ Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.",https://a.ltrbxd.com/resized/film-poster/5/5/2/6/3/2/552632-flamin-hot-0-500-0-750-crop.jpg?v=bc7b37fd7f
Godzilla Minus One,"In postwar Japan, a new terror rises. Will the devastated people be able to survive… let alone fight back?",https://a.ltrbxd.com/resized/film-poster/8/4/5/7/0/6/845706-godzilla-minus-one-0-500-0-750-crop.jpg?v=a98e8c1ed4
Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",https://a.ltrbxd.com/resized/film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-500-0-750-crop.jpg?v=bd023e472c
Society of the Snow,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.",https://a.ltrbxd.com/resized/film-poster/8/1/3/8/4/0/813840-society-of-the-snow-0-500-0-750-crop.jpg?v=c75af7d2b8
The Teachers’ Lounge,"When one of her students is suspected of theft, teacher Carla Nowak decides to get to the bottom of the matter. Caught between her ideals and the school system, the consequences of her actions threaten to break her.",https://a.ltrbxd.com/resized/film-poster/8/9/9/0/3/7/899037-the-teachers-lounge-0-500-0-750-crop.jpg?v=9cf3f39b38
Perfect Days,Hirayama seems utterly content with his simple life as a cleaner of toilets in Tokyo. Outside of his very structured everyday routine he enjoys his passion for music and for books. And he loves trees and takes photos of them. A series of unexpected encounters gradually reveal more of his past.,https://a.ltrbxd.com/resized/film-poster/8/7/9/2/2/9/879229-perfect-days-0-500-0-750-crop.jpg?v=717cbebae7
Io Capitano,"Seydou, a teenage boy who, together with his cousin Moussa, decides to leave Dakar in Senegal and make his way to Europe. A contemporary Odyssey through the dangers of the desert, the horrors of the detention centers in Libya and the perils of the sea.",https://a.ltrbxd.com/resized/film-poster/8/4/2/7/7/7/842777-io-capitano-0-500-0-750-crop.jpg?v=5c6d823aca
Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",https://a.ltrbxd.com/resized/film-poster/4/9/7/6/3/1/497631-spider-man-across-the-spider-verse-0-500-0-750-crop.jpg?v=f2acbf1b8a
The Boy and the Heron,"While the Second World War rages, the teenage Mahito, haunted by his mother’s tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy’s mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the “long-awaited one.”",https://a.ltrbxd.com/resized/film-poster/4/3/8/6/9/2/438692-the-boy-and-the-heron-0-500-0-750-crop.jpg?v=521e114164
Elemental,"In a city where fire, water, land, & air residents live together, a fiery young woman & a go-with-the-flow guy will discover something elemental: How much they have in common.",https://a.ltrbxd.com/resized/film-poster/8/7/8/8/5/4/878854-elemental-0-500-0-750-crop.jpg?v=949da202f5
Nimona,"A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.",https://a.ltrbxd.com/resized/film-poster/8/6/5/1/1/2/865112-nimona-0-500-0-750-crop.jpg?v=23fa6c0b1b
Robot Dreams,"Dog lives in Manhattan and he’s tired of being alone. One day he decides to build himself a robot, a companion. Their friendship blossoms, until they become inseparable, to the rhythm of 80’s NYC. One summer night, Dog, with great sadness, is forced to abandon Robot at the beach. Will they ever meet again?",https://a.ltrbxd.com/resized/film-poster/7/5/3/4/2/0/753420-robot-dreams-0-500-0-750-crop.jpg?v=f231becfbe
20 Days in Mariupol,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war’s atrocities.",https://a.ltrbxd.com/resized/film-poster/9/5/4/4/8/3/954483-20-days-in-mariupol-0-500-0-750-crop.jpg?v=8e5e1a2eb8
Bobi Wine: The People’s President,"Uganda has one the youngest populations in the world and one of its most flagrantly anti-democratic governments. These are ingredients for revolution, and Bobi Wine and his wife Barbie Kyagulanyi are stirring the pot. When the charismatic Bobi, a musician and member of parliament, announces his campaign for president, Uganda’s youth are ecstatic, filling parks and streets for every speech, and singing Bobi’s anthems of peace and freedom. But then comes the crackdown, orchestrated by Yoweri Museveni, a brutal dictator who has ruled Uganda for 36 years. Bobi and his crew survive arrests, beatings, torture, riots and raids.",https://a.ltrbxd.com/resized/film-poster/9/0/5/0/1/4/905014-bobi-wine-the-people-s-president-0-500-0-750-crop.jpg?v=c3f1e394db
Four Daughters,"“Four Daughters,” an Oscar®-nominated tour de force by Kaouther Ben Hania (The Man Who Sold His Skin) uses an audacious formal conceit to tell the story of Olfa Hamrouni and her four daughters. Attempting to answer the question of how and why the Tunisian woman’s two eldest were radicalized, Ben Hania reveals a complex history. We watch as the family relives key events in their lives with help from professional actors standing in for the missing girls.",https://a.ltrbxd.com/resized/film-poster/9/6/4/0/3/5/964035-four-daughters-0-500-0-750-crop.jpg?v=6d9be2f182
The Eternal Memory,"Augusto and Paulina have been together for 25 years. Eight years ago, he was diagnosed with Alzheimer’s disease. Both fear the day he no longer recognizes her.",https://a.ltrbxd.com/resized/film-poster/9/3/1/1/1/6/931116-the-eternal-memory-0-500-0-750-crop.jpg?v=aa7dd837bc
To Kill a Tiger,"Ranjit, a farmer in India, takes on the fight of his life when he demands justice for his 13-year-old daughter, the victim of a brutal gang rape. His decision to support his daughter is virtually unheard of, and his journey unprecedented.",https://a.ltrbxd.com/resized/film-poster/9/1/4/6/3/9/914639-to-kill-a-tiger-0-500-0-750-crop.jpg?v=d1935a594d
Letter to a Pig,"A Holocaust survivor reads a letter he wrote to the pig who saved his life. A young schoolgirl hears his testimony in class and sinks into a twisted dream where she confronts questions of identity, collective trauma, and the extremes of human nature.",https://a.ltrbxd.com/resized/film-poster/8/5/5/0/6/4/855064-letter-to-a-pig-0-500-0-750-crop.jpg?v=9138234166
War Is Over!,"Set in an alternate WWI reality where a senseless war rages on, two soldiers on opposite sides of the conflict play a joyful game of chess. A heroic carrier pigeon delivers the soldiers’ chess moves over the battlefield as the fighting escalates. Neither soldier knows his opponent as the game and the war builds to its climatic final move. Whoever wins the game, one thing is for certain: there are no winners in war.",https://a.ltrbxd.com/resized/film-poster/1/0/9/8/1/5/6/1098156-war-is-over--0-500-0-750-crop.jpg?v=5e95ad8b95
Ninety-Five Senses,A heartfelt depiction of a man facing his own mortality while reflecting on the grave mistakes of his youth.,https://a.ltrbxd.com/resized/film-poster/9/3/7/9/5/1/937951-ninety-five-senses-0-500-0-750-crop.jpg?v=ca5a952b8a
Our Uniform,An Iranian girl unfolds her school memories through the wrinkles and fabrics of her old uniform. She admits that she’s nothing but a “female” and explores the roots of this idea in her school years,https://a.ltrbxd.com/resized/film-poster/1/0/2/7/8/2/1/1027821-our-uniform-0-500-0-750-crop.jpg?v=77320140a7
Pachyderm,"Like every summer, Louise stays at her grandparents in the countryside for a few days during the holidays. It will snow at the height of summer and a monster is going to die.",https://a.ltrbxd.com/resized/film-poster/8/5/5/0/7/3/855073-pachyderm-0-500-0-750-crop.jpg?v=1a5684df8b
The Wonderful Story of Henry Sugar,A rich man learns about a guru who can see without using his eyes. He sets out to master the skill in order to cheat at gambling.,https://a.ltrbxd.com/resized/film-poster/8/2/9/3/6/4/829364-the-wonderful-story-of-henry-sugar-0-500-0-750-crop.jpg?v=887a913aa6
The After,"After losing a family member to a violent crime, a shattered rideshare driver picks up a passenger that forces him to confront his grief.",https://a.ltrbxd.com/resized/film-poster/1/0/5/6/4/8/8/1056488-the-after-0-500-0-750-crop.jpg?v=f50f664139
"Red, White and Blue","When Rachel is forced to cross state lines in search of an urgent and necessary abortion with her young daughter in tow, she attempts to make the arduous journey into a fun road trip for them both. Along the way, we learn a heartbreaking truth as Rachel confronts a dark secret that means her life will never be the same again.",https://a.ltrbxd.com/resized/film-poster/1/0/8/0/2/0/5/1080205-red-white-and-blue-0-500-0-750-crop.jpg?v=fd1f1116c3
